prefecture,municipality,districtName,tradePrice,floorPlan,area,buildingYear,structure,cityPlanning,period,renovation
東京都,中央区,日本橋中洲,54000000,３ＬＤＫ,65,,,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋中洲,31000000,１ＬＤＫ,35,昭和57年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋中洲,53000000,２ＬＤＫ,55,,,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋中洲,34000000,１ＬＤＫ,40,平成14年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋中洲,69000000,２ＬＤＫ,55,平成28年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋人形町,21000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋人形町,41000000,１ＬＤＫ,45,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋人形町,51000000,２ＤＫ,50,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋人形町,59000000,３ＬＤＫ,60,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋人形町,79000000,２ＬＤＫ,60,平成30年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋人形町,40000000,１ＬＤＫ,45,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋人形町,58000000,３ＬＤＫ,70,平成14年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋馬喰町,44000000,１ＬＤＫ,40,平成24年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋馬喰町,77000000,,70,平成29年,ＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋箱崎町,18000000,１ＤＫ,20,昭和60年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋箱崎町,38000000,１ＤＫ,35,平成24年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋箱崎町,73000000,３ＬＤＫ,65,平成24年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,45000000,２ＤＫ,40,平成25年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,110000000,３ＬＤＫ,90,平成28年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,30000000,１Ｋ,25,平成22年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,100000000,３ＬＤＫ,80,平成30年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,65000000,３ＬＤＫ,65,平成12年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,21000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋浜町,27000000,３ＬＤＫ,55,昭和49年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,24000000,１Ｋ,20,平成12年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,35000000,１ＤＫ,25,平成26年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,34000000,１ＬＤＫ,35,平成12年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋浜町,30000000,１ＬＤＫ,30,昭和59年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,日本橋浜町,61000000,２ＬＤＫ,55,平成11年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,27000000,１Ｋ,25,平成26年,ＲＣ,商業地域,2020年第１四半期,
東京都,中央区,日本橋浜町,38000000,２ＬＤＫ,50,平成11年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,日本橋浜町,39000000,１ＬＤＫ,35,平成22年,ＲＣ,商業地域,2020年第１四半期,未改装
